OBJECTID,presence,DECID,MARSH,SSW,STUDY,ANTHRO,PROB_1,PREDICTED,DEV_RESID
1,1,0.639593899,0.18274112,0.121827409,187.5735931,0,0.733555432,1,0.787212948
2,1,0.309644669,0.157360405,0,413.5321045,0.690355301,0.387174018,0,1.377592849
3,1,0,0.477157354,0.076142132,79.01908112,0.284263968,0.901148244,1,0.456257607
4,1,0.593908608,0.126903549,0,72.38848114,0,0.832444395,1,0.60562175
5,1,0,0.228426397,0,60.71276474,0.492385775,0.795979441,1,0.675547068
6,1,0,0.680203021,0,42.10483551,0.152284265,0.967192617,1,0.258292909
7,1,0,0.228426397,0,60.71276474,0.492385775,0.795979441,1,0.675547068
8,1,0,0.269035518,0,77.55279541,0.796954334,0.621913018,1,0.974633304
9,1,0,0.111675128,0,107.5719147,0.020304568,0.922330607,1,0.402123225
10,1,0.167512685,0.015228426,0.055837564,81.53874207,0.467005074,0.612227798,1,0.99060673
11,1,0,0.771573603,0,53.51499176,0.106598988,0.975862456,1,0.221059397
12,1,0,0,0,986.3356323,1,0.111573035,0,2.094314151
13,1,0.111675128,0.416243643,0,136.6690674,0.842639565,0.596469132,1,1.01659017
14,1,0,0.248730958,0,65.44815063,0.573604047,0.759663809,1,0.74145708
15,1,0.269035518,0.218274117,0,43.38154984,0.04568528,0.905547386,1,0.445456332
16,1,0,0.771573603,0,53.51499176,0.106598988,0.975862456,1,0.221059397
17,1,0,0.228426397,0,60.71276474,0.492385775,0.795979441,1,0.675547068
18,1,0.99492383,0.213197976,0,78.41384125,0.005076142,0.745381033,1,0.766628643
19,1,0.406091362,0.32994923,0,54.14637375,0.020304568,0.910818473,1,0.432230639
20,1,0.284263968,0.086294413,0,67.22213745,0.543147206,0.600385579,1,1.010131871
21,1,0,0.31979695,0,74.03701019,0.751269042,0.679126329,1,0.879713723
22,1,0.66497463,0,0,67.76800537,0.131979689,0.69368319,1,0.855265948
23,1,0,0.081218272,0,96.44088745,0.060913704,0.909148881,1,0.436454839
24,1,0,0.05076142,0,122.2445297,0.472081214,0.721338861,1,0.808265135
25,1,0.527918756,0,0,61.46977997,0.472081214,0.50744742,1,1.164785112
26,1,0.32994923,0.126903549,0,61.66581345,0.17766498,0.82244163,1,0.625264369
27,1,0,0.248730958,0,65.44815063,0.573604047,0.759663809,1,0.74145708
28,1,0.065989845,0.482233495,0,57.73514938,0.934010148,0.611220974,1,0.992266824
29,1,0,0.771573603,0,53.51499176,0.106598988,0.975862456,1,0.221059397
30,1,0,0.451776654,0,45.32875061,0.172588825,0.944325093,1,0.338481295
31,1,0.67005074,0.426395953,0,312.0432129,0,0.851338193,1,0.567354955
32,1,0.065989845,0.482233495,0,57.73514938,0.934010148,0.611220974,1,0.992266824
33,1,0,0.248730958,0,70.75131989,0.64974618,0.713336118,1,0.821952014
34,1,0.771573603,0.137055844,0,54.823349,0.228426397,0.657732677,1,0.915376093
35,1,0,0.17766498,0,122.8439331,0.629441619,0.677584674,1,0.882293323
36,1,0.609137058,0,0,69.79384613,0.243654817,0.639025268,1,0.946373375
37,1,0,0,0,1077.03064,1,0.098603769,0,2.152508207
38,1,0,0.04568528,0,4260.039551,0.99492383,0.000961958,0,3.727342138
39,1,0,0.289340109,0,76.38217926,0.868020296,0.581021354,1,1.042082309
40,1,0,0,0,4328.950195,1,0.00077402,0,3.785211517
41,1,0.812182724,0.208121821,0,60.90787125,0,0.80516857,1,0.658336721
42,1,0,0.776649773,0,49.83391953,0.137055844,0.974005041,1,0.22951601
43,1,0.055837564,0.030456852,0,103.9365387,0.31979695,0.786204928,1,0.693596134
44,1,0,0.086294413,0,117.4988098,0.390862942,0.782536216,1,0.700307183
45,1,0.812182724,0.208121821,0,60.90787125,0,0.80516857,1,0.658336721
46,1,0.157360405,0.258883238,0,49.25999069,0.152284265,0.900784827,1,0.457140822
47,1,0.010152284,0,0,203.293335,0.705583751,0.498370697,0,1.180178891
48,1,0,0.248730958,0,70.75131989,0.64974618,0.713336118,1,0.821952014
49,1,0,0.472081214,0,114.788353,0.451776654,0.872247726,1,0.522841862
50,1,0,0.517766476,0,83.72576141,0.791878164,0.737530703,1,0.780317321
51,1,0,0.228426397,0,60.71276474,0.492385775,0.795979441,1,0.675547068
52,1,0,0.248730958,0,65.44815063,0.573604047,0.759663809,1,0.74145708
53,1,0,0.213197976,0,60.94604874,0.395939082,0.834979093,1,0.600580706
54,1,0,0.284263968,0,2253.411377,1,0.032343046,0,2.619677939
55,1,0,0.761421323,0,59.07507324,0.111675128,0.974767581,1,0.226080582
56,1,0,0.010152284,0,957.1341553,1,0.118291583,0,2.066205538
57,1,0,0.055837564,0,127.1454315,0.639593899,0.609685255,1,0.994798904
58,1,0,0.081218272,0,116.8028641,0.020304568,0.916487751,1,0.417628009
59,1,0.101522841,0.299492389,0,111.8788147,0.837563455,0.553001249,1,1.08848061
60,1,0.558375657,0.086294413,0,74.74043274,0,0.828351649,1,0.613705985
61,1,0,0.796954334,0,39.94534302,0.081218272,0.979189751,1,0.205084539
62,1,0.411167502,0.09137056,0,56.21773148,0,0.865944278,1,0.536534652
63,1,0,0.005076142,0,816.9210205,1,0.141113503,0,1.978984955
64,1,0,0.228426397,0,60.71276474,0.492385775,0.795979441,1,0.675547068
65,1,0,0.228426397,0,60.71276474,0.492385775,0.795979441,1,0.675547068
66,1,0,0,0,1356.161133,1,0.066748198,0,2.326726444
67,1,0.055837564,0,0,108.3115997,0.64974618,0.557044451,1,1.081767293
68,1,0.406091362,0.0964467,0,55.49907684,0,0.868318704,1,0.531406551
69,1,0,0.32487309,0,75.49173737,0.817258894,0.636000124,1,0.951374291
70,1,0,0.32994923,0,79.70465088,0.873096466,0.596992253,1,1.015727465
71,1,0,0.05076142,0.010152284,55.07436371,0.538071036,0.693196025,1,0.856086976
72,1,0.964466989,0.274111688,0,62.28384399,0.035532996,0.766411697,1,0.729432369
73,1,0,0.248730958,0,65.44815063,0.573604047,0.759663809,1,0.74145708
74,1,0,0.730964482,0,53.97237396,0.192893401,0.966120286,1,0.262552598
75,1,0.116751269,0.005076142,0,107.805275,0.284263968,0.776541631,1,0.711203241
76,1,0.005076142,0,0,115.2284241,0,0.907037006,1,0.441751128
77,1,0,0.04568528,0,186.4637451,0.908629417,0.381649685,0,1.387985696
78,1,0,0.467005074,0,49.65438461,0.248730958,0.93249434,1,0.373877512
79,1,0,0.248730958,0,70.75131989,0.64974618,0.713336118,1,0.821952014
80,1,0,0.192893401,0.055837564,120.6370163,0.248730958,0.848814473,1,0.572563779
81,1,0,0,0,109.03685,0.543147206,0.656434659,1,0.917531601
82,1,0,0.060913704,0,114.5907364,0.360406101,0.789739236,1,0.687098928
83,1,0.233502537,0.263959378,0,105.4568939,0.766497433,0.533999687,1,1.120142871
84,1,0.33502537,0,0,115.3976517,0.106598988,0.800279492,1,0.667524153
85,1,0.010152284,0.375634521,0.076142132,105.3521576,0.09137056,0.925665372,1,0.393045744
86,1,0,0.32487309,0,82.6836853,0.781725883,0.658125997,1,0.91472278
87,1,0,0.17766498,0,122.8439331,0.629441619,0.677584674,1,0.882293323
88,1,0,0.081218272,0,75.14992523,0.162436545,0.883657863,1,0.497363697
89,1,0,0.147208124,0,129.5493774,0.634517789,0.65751578,1,0.915736332
90,1,0,0.370558381,0,76.96754456,0.954314709,0.558982023,1,1.078552703
91,1,0.111675128,0.416243643,0,136.6690674,0.842639565,0.596469132,1,1.01659017
92,1,0,0.502538085,0,122.560173,0.502538085,0.860554528,1,0.548047987
93,1,0,0,0,125.8865662,0.076142132,0.884866506,1,0.494607897
94,1,0,0.299492389,0,75.09416962,0.781725883,0.648505914,1,0.930681637
95,1,0,0.614213169,0.289340109,182.6837921,0.228426397,0.847671113,1,0.574913135
96,1,0.35025382,0.081218272,0,82.11894989,0.05076142,0.852576818,1,0.564786623
97,1,0,0.213197976,0,60.94604874,0.395939082,0.834979093,1,0.600580706
98,1,0,0.228426397,0.497461915,395.3696289,0.421319783,0.311711537,0,1.526877258
99,1,0.015228426,0.065989845,0,115.1450424,0.411167502,0.760077937,1,0.740721678
100,1,0,0.228426397,0,60.71276474,0.492385775,0.795979441,1,0.675547068
101,1,0.020304568,0.02538071,0,68.15982056,0.431472093,0.74418637,1,0.768718125
102,1,0,0.005076142,0,155.27005,0.568527937,0.625001372,1,0.96953745
103,1,0,0.152284265,0,116.6632843,0.517766476,0.738280867,1,0.779013412
104,1,0,0.269035518,0,77.55279541,0.796954334,0.621913018,1,0.974633304
105,1,0,0.624365509,0.355329961,80.02526855,0,0.912216217,1,0.428668256
106,1,0,0.238578677,0,36.44166565,0.395939082,0.847181761,1,0.575916684
107,1,0,0.218274117,0,58.20859909,0.401015222,0.834919126,1,0.600700282
108,1,0.502538085,0.152284265,0,147.5094604,0,0.845468779,1,0.579420466
109,1,0,0.436548233,0,141.378418,0.563451767,0.812430864,1,0.64455327
110,1,0,0.09137056,0,109.9866257,0.436548233,0.762072566,1,0.737175009
111,1,0,0.218274117,0,58.20859909,0.401015222,0.834919126,1,0.600700282
112,1,0,0.152284265,0,90.96038818,0.355329961,0.827675158,1,0.615035808
113,1,0,0.370558381,0,51.45669174,0.253807098,0.916994065,1,0.416303445
114,1,0.294416249,0,0,135.3207397,0.269035518,0.71795265,1,0.814065918
115,1,0,0.32487309,0,76.75233459,0.928934038,0.55407449,1,1.086697881
116,1,0,0.807106614,0.040609136,94.24728394,0.634517789,0.876416604,1,0.513641364
117,1,0,0.421319783,0,48.53012848,0.223350257,0.931320396,1,0.37723181
118,1,0,0,0,347.6667175,1,0.249263196,0,1.666880876
119,1,0,0.05076142,0,69.66262054,0.299492389,0.825639473,1,0.619026774
120,1,0,0.532994926,0.040609136,87.84716034,0.67512691,0.779350846,1,0.706107577
121,1,0.0964467,0.02538071,0,57.83427048,0.121827409,0.869076267,1,0.529762954
122,1,0,0.421319783,0,48.53012848,0.223350257,0.931320396,1,0.37723181
123,1,0,0.299492389,0,60.12111282,0.34010151,0.878230498,1,0.509600222
124,1,0,0.040609136,0,1840.119507,1,0.035984577,0,2.578629422
125,1,0.269035518,0.218274117,0,43.38154984,0.04568528,0.905547386,1,0.445456332
126,1,0,0.258883238,0,74.99602509,0.725888312,0.667227142,1,0.899582958
127,1,0.010152284,0.492385775,0,68.59005737,0.370558381,0.905820745,1,0.444778249
128,1,0,0.299492389,0,60.12111282,0.34010151,0.878230498,1,0.509600222
129,1,0,0.543147206,0.370558381,119.6027222,0.081218272,0.858683405,1,0.552005412
130,1,0,0.451776654,0,128.5002594,0.761421323,0.714427899,1,0.820089261
131,1,0.487309635,0.32994923,0,52.51169586,0.010152284,0.901821021,1,0.454618968
132,1,0,0.248730958,0,68.88539124,0.563451767,0.764303696,1,0.733198556
133,1,0.131979689,0.030456852,0,115.0698013,0.253807098,0.794932243,1,0.67749302
134,1,0,0.34010151,0,57.5725441,0.314720809,0.895026571,1,0.470960451
135,1,0,0.030456852,0,565.6500854,0.710659921,0.379592828,0,1.391873633
136,1,0.05076142,0.243654817,0,38.35802841,0.416243643,0.828044062,1,0.614310851
137,1,0.005076142,0.030456852,0,114.5759201,0.441624373,0.731707341,1,0.790410845
138,1,0,0.258883238,0,74.99602509,0.725888312,0.667227142,1,0.899582958
139,1,0,0.467005074,0,49.65438461,0.248730958,0.93249434,1,0.373877512
140,1,0.34517765,0.106598988,0,49.17281342,0,0.883080332,1,0.498676461
141,1,0,0.269035518,0,64.81348419,0.269035518,0.892785505,1,0.476253971
142,1,0,0.842639565,0,71.08370972,0,0.984444473,1,0.177075035
143,1,0.121827409,0.32487309,0,33.98576736,0.09137056,0.931856712,1,0.37570259
144,1,0.756345153,0.223350257,0,41.39156342,0.243654817,0.697887095,1,0.848172087
145,1,0,0.137055844,0,86.99105072,0.385786802,0.81006238,1,0.649067057
146,1,0.898477137,0.248730958,0,62.82585526,0,0.79484546,1,0.677654149
147,1,0,0,0,152.8734589,0.360406101,0.756835454,1,0.746470917
148,1,0,0.477157354,0,125.515892,0.598984778,0.812847558,1,0.643757241
149,1,0.065989845,0.33502537,0,38.98496246,0.121827409,0.932950599,1,0.372566847
150,1,0,0.269035518,0,77.55279541,0.796954334,0.621913018,1,0.974633304
151,1,0,0,0,58.06373596,0.314720809,0.805088543,1,0.658487686
152,1,0,0.020304568,0,166.8551636,0.614213169,0.595545909,1,1.018112763
153,1,0,0.065989845,0,77.80198669,1,0.365571546,0,1.418656597
154,1,0,0.776649773,0,39.96470261,0.076142132,0.978614719,1,0.20792912
155,1,0,0,0,971.828186,1,0.113780977,0,2.084936419
156,1,0.441624373,0,0,112.2992325,0.101522841,0.772989536,1,0.717620746
157,1,0,0.071065992,0,109.9467621,0.578680217,0.665852472,1,0.90187266
158,1,0,0.248730958,0,65.44815063,0.573604047,0.759663809,1,0.74145708
159,1,0,0.258883238,0,74.99602509,0.725888312,0.667227142,1,0.899582958
160,1,0,0,0,111.3379059,0.370558381,0.762750675,1,0.735967485
161,1,0.02538071,0,0,265.8733521,0.878172576,0.342587223,0,1.463713761
162,1,0.071065992,0.060913704,0,120.7022324,0.365482241,0.764355952,1,0.733105303
163,1,0.071065992,0.243654817,0,36.87770081,0.34010151,0.854503179,1,0.560776348
164,1,0.010152284,0.492385775,0,68.59005737,0.370558381,0.905820745,1,0.444778249
165,1,0.269035518,0.218274117,0,43.38154984,0.04568528,0.905547386,1,0.445456332
166,1,1,0.208121821,0,79.80953979,0,0.7441965,1,0.768700418
167,1,0,0.243654817,0,78.02671051,0.593908608,0.742547365,1,0.771580999
168,1,0,0.17766498,0.010152284,130.7422638,0.04568528,0.92162634,1,0.404018338
169,1,0.106598988,0.060913704,0,132.2603149,0.370558381,0.747012663,1,0.763771094
170,1,0,0,0,185.5496521,0.385786802,0.73275094,1,0.788605627
171,1,0.401015222,0,0.187817261,80.66220856,0.421319783,0.418298713,0,1.320272304
172,1,0.837563455,0.218274117,0,72.20656586,0,0.798955974,1,0.669999158
173,1,0,0.680203021,0,81.21155548,0.741116762,0.823009141,1,0.62416019
174,1,0,0.365482241,0,82.03838348,0.888324857,0.603199038,1,1.00549297
175,1,0.873096466,0.279187828,0,41.79626083,0.126903549,0.752049975,1,0.754920527
176,1,0,0.010152284,0,119.1781464,0.09137056,0.883391245,1,0.49797006
177,1,0,0.015228426,0.076142132,664.3942871,0.928934038,0.16503717,0,1.898201549
178,1,0,0.187817261,0,66.49622345,0.477157354,0.787902159,1,0.690480065
179,1,0,0.081218272,0,90.96178436,0.208121821,0.865854459,1,0.536727949
180,1,0,0.02538071,0,105.9577408,0.05076142,0.900316976,1,0.458275861
181,1,0,0.157360405,0,60.08653641,0.274111688,0.866871259,1,0.534536816
182,1,0,0,0,971.828186,1,0.113780977,0,2.084936419
183,1,0.370558381,0.071065992,0,186.0919189,0.629441619,0.446135894,0,1.270536641
184,1,0,0.147208124,0,80.48036194,0.624365509,0.680866293,1,0.876800241
185,1,0,0.35025382,0,89.5574646,0.786802053,0.664432781,1,0.904236211
186,1,0.213197976,0.060913704,0,131.0858307,0.309644669,0.747727881,1,0.762517099
187,1,0.807106614,0.147208124,0,83.11999512,0.005076142,0.777080835,1,0.710226583
188,1,0,0.035532996,0.197969541,592.7628784,0.802030444,0.176651883,0,1.862028057
189,1,0,0.35025382,0,89.5574646,0.786802053,0.664432781,1,0.904236211
190,1,0.269035518,0.218274117,0,43.38154984,0.04568528,0.905547386,1,0.445456332
191,1,0.106598988,0.502538085,0,63.65719604,0.304568529,0.911136361,1,0.431422554
192,1,0,0,0,971.828186,1,0.113780977,0,2.084936419
193,1,0.258883238,0.157360405,0,113.9136124,0.17766498,0.837563444,1,0.595412906
194,1,0,0,0,971.828186,1,0.113780977,0,2.084936419
195,1,0,0.507614195,0,93.00402069,0.756345153,0.751250896,1,0.756327444
196,1,0.532994926,0,0,70.6003418,0,0.808476313,1,0.652079592
